"","Bcells","Others","Tcells","Monocytes"
"CD79A",2.37693955802056,0.88490574474098,0.0602099294578931,0.0203617838189366
"CD74",4.31602100440389,3.78298341885096,1.29529498476535,3.37719666879542
"HLA-DQA1",2.41090976450345,1.87639518518675,0.0809918939128841,0.585605575065945
"HLA-DQB1",2.50231466096425,2.14147775412901,0.117861824389699,1.23925269208262
"MS4A1",2.05314359115029,0.855334590065128,0.0352495088187216,0.0263903402726404
"CD79B",1.65360414005162,0.797517259134353,0.237532610699804,0.194289202578014
"HLA-DRA",4.10034184765253,3.67381002273676,0.413427137461811,3.44800632454906
"HLA-DPB1",3.35886213691792,2.86742036610444,0.689373495033209,2.35000016117905
"HLA-DRB1",3.78571199949561,3.21381107102722,0.666981033187011,3.11943021187425
"HLA-DPA1",3.3056996882673,2.76181342617222,0.561856545706066,2.46753504145242
"CD37",2.64153541454906,2.06757340145573,1.68386699222517,1.89950719125042
"IGHM",3.94828543895813,1.27823153665477,0.0656730869921445,0.0766931202094767
"IGHD",1.80947355947575,0.160222263000687,0.00338813164579504,0.0132822238676367
"BCL11A",0.993230086279299,0.755894832883199,0.00676482260717832,0.273239053121849
"LINC00926",1.33838115708882,0.295593106332937,0.0110895954477531,0.0158163955970322
"FCER2",0.949776023606214,0.0442590132056656,0.00435406452655551,0.045244479040549
"BANK1",1.37415856444038,0.571607622255703,0.00145346229101178,0.0318847709434262
"HCST",0.951207644016701,2.48204590236717,1.92602761338342,1.8386686695848
"TCL1A",1.55186011791912,0.315595135935421,0.00193748064398195,0.00768433688890252
"CD3E",0.344367381427987,1.6299357788754,2.05832589157048,0.0992979300785382
"MEF2C",1.3675765578029,0.656790551256997,0.0106099877346403,0.922075169311132
"FCRLA",0.638909364194945,0.155585103287129,0,0.0020549370835453
"ADAM28",0.84010979505232,0.284759481630136,0.00338813164579504,0.0656778535584833
"HLA-DMA",1.81582083239231,1.40319008928676,0.174408665099364,1.48808078465531
"EAF2",1.04599626155222,0.222981025339428,0.0720092761141191,0.287999283514543
"P2RX5",0.91701052203542,0.217170846468172,0.08767629937402,0.0168282688513412
"S100A6",2.24657165715842,2.76580797657864,2.22509865754468,3.7514733889469
"HVCN1",0.936798365895863,0.35570665728147,0.0787537925779988,0.51748218755327
"S100A4",2.50730671537457,3.41402585646857,2.90446337400164,3.98084459720867
"IRF8",1.06914814411789,1.27823153665477,0.024426064237831,0.687077910283281
"CD19",0.596987836220693,0.0965519914819287,0.00338813164579504,0.00564094716204397
"ANXA1",1.43901865126375,1.88082064563591,1.65232018490094,2.33771283150155
"ITGB2",1.5032272293665,2.31230510139599,1.5817968979915,2.58688409347572
"GIMAP7",0.435850416642289,1.12075189377729,1.6495293653191,1.0129218757202
"PLPP5",1.10412944317516,0.217170846468172,0.163763896463716,0.124132132491037
"RALGPS2",0.931705662800315,0.42668889311047,0.0615785194592587,0.0666405342130556
"VPREB3",0.769746735346185,0.275182815602052,0.00193748064398195,0.00461768437200917
"SEL1L3",0.892281243844648,0.420764346464225,0.226383097655826,0.0363578676260394
"IL32",0.625129870867289,2.39583801120041,2.50106156634698,0.128211860826444
"SPIB",0.709658978407132,0.533059131104538,0.00242126483651949,0.00870446809176238
"B2M",4.49736530024672,5.2086975010921,4.94362587765274,4.61000950734805
"HLA-DOB",0.594947057919006,0.158678931113728,0.0125270399883069,0.0273915757305495
"TPD52",0.741037094076795,0.233068308936225,0.22947126243501,0.0102327162942426
"SNX2",1.23727566780927,0.672620312792917,0.412464685028107,0.983931769827047
"S100A11",1.52844187590079,1.8417042353995,1.34096657794065,2.98114701150938
"CD3D",0.18846950571754,0.798332289047462,2.01525895235177,0.104870185043095
"LDHB",1.11268685531833,1.24230165909153,2.2447599883374,0.816476754390234
"JUNB",2.71220678975278,2.53349462873221,3.24536459054378,3.03577498562904
"CD72",0.702346455888205,0.167903395241977,0.0248990927749072,0.0213690704639861
"TSPAN13",0.640862454339754,0.356974166665007,0.00290481509508107,0.0020549370835453
"IGKC",6.18996222040772,3.02406027563541,0.571211311996081,0.584746230343005
"CXXC5",0.84965626567333,0.816096912653398,0.147162818327958,0.269711065908587
"IL7R",0.277903923620987,0.268285750414957,2.47895325695286,0.12594740023111
"STX7",1.0256211754716,0.61852480649259,0.181712299450597,0.657142884426285
"VSIR",0.782528982028711,0.930187166638771,0.81712303656276,1.94978210723949
"HLA-DMB",1.45297428134772,1.03193884046001,0.08767629937402,1.32237772246616
"TRAC",0.356108914376384,0.49627631558689,2.24141533795639,0.115006034368161
"FCRL1",0.648636891356286,0.117692746709264,0.00868925333162794,0.00359337344262336
"BLK",0.638909364194945,0.208391787000971,0.0177800623530037,0.00102799638748194
"LEPROTL1",0.366431338941213,0.587827773942786,1.39599099550769,0.629577536968179
"MARCH1",1.07548522624448,0.518076758197433,0.0130057293689255,1.07466057505596
"POU2F2",1.28603976808336,0.741339144577519,0.398892173432749,1.53879601077617
"S100A10",1.98911220468199,2.1105960995149,1.87485902395182,2.69360001385528
"CTSD",0.598006665702377,1.35019632176368,0.716736050965428,2.03771678565324
"SRGN",1.76419476856601,2.37315694905323,1.49641122578926,2.93013866102154
"LCK",0.301466429860324,1.34455044061549,1.5260421123473,0.0613342850967678
"IFITM1",0.218682435301962,1.25062875665523,1.05296896055681,0.0535654919236209
"CD40",0.694055440372077,0.235931798830182,0.0201587081170995,0.123677800213768
"VIM",2.88838258587797,2.67376655951883,2.49635933910352,3.42627731483164
"IFT57",0.649604459891594,0.266900610608131,0.2337019771191,0.131824365688137
"CD247",0.321805601101284,2.15226477734081,1.25243828098412,0.0525901353498408
"FAM129C",0.589826816559864,0.304977196005731,0.00531906528128463,0.00972355968739691
"SAMHD1",1.11511843996477,1.23968515644589,0.968653404325868,1.72818392531946
"STRBP",0.602071635112498,0.220080155670179,0.129003822361691,0.0333780274517729
"CD7",0.245114970340152,1.77709777007636,1.3917807351639,0.117752619425229
"TNFRSF13C",0.910326593936583,0.327407088996096,0.0408503591793771,0.0132822238676367
"IL4R",0.979417889419195,0.16943256700886,0.27284094681787,0.296828406059588
"TCF4",0.744561269046205,0.956959718819499,0.0144404241833689,0.222265597676725
"GZMM",0.22165412356113,1.69979253820104,1.14162073292762,0.0413046203402851
"FOS",2.889206901707,2.77870926560285,2.91426840084161,3.91852183981974
"LAT",0.155731755717806,0.773587715713977,1.15881083577056,0.0904111957471267
"ISG20",1.56317281495879,1.0176477688765,1.2854223636167,0.254277636697246
"CYB561A3",0.867702784735959,0.687293432336821,0.22947126243501,0.384236785133245
"PLEKHF2",0.654428309358097,0.276556538616483,0.190567124396148,0.266564593944322
"ARL4C",0.861462605412605,1.79620113335631,1.61686230814391,0.593306626034239
"FCRL2",0.563824814586787,0.0749546344431692,0.00387121471446201,0.00359337344262336
"ACTB",3.93375072741775,4.57689018393833,4.00355294198969,4.5244321937357
"LINC02397",0.456004774167365,0.0749546344431692,0,0.0020549370835453
"EZR",1.0967357788843,0.82009069119016,0.805057922251511,0.650993185535721
"RGS10",0.706923044998129,0.715124153200661,1.11717399548764,0.883717416171197
"YBX3",1.18544541517051,0.43140338729959,0.169918930176173,1.39300900438241
"ACTG1",2.91783824499721,3.31524546066513,2.96715347067979,2.90046167909183
"IFITM2",0.761133555658702,1.97252532888856,1.29489663326603,1.24311741263721
"AGTRAP",0.350907467989594,0.717776794499597,0.325673219646943,1.33151826424577
"STAG3",0.402981494648551,0.0783078167090288,0.0679406231991871,0.0253881013374882
"ZAP70",0.166763853115277,1.15668843891171,0.85205529821318,0.0442609686427965
"POU2AF1",0.609145811577997,0.152481673976888,0.0130057293689255,0.00256801222444327
"NOSIP",0.538210262008793,0.630159057453049,1.62443734836377,0.500792119737592
