"","Plasmablast","NaiveB","MemoryB","NaiveCD4T","MemoryCD4T","NaiveCD8T","MemoryCD8T","NKT","NKcells","Dendritic","CMonocytes","NMonocyte"
"TNFRSF17",2.26399123413468,0.202667097179893,0,0.00290374119972527,0.00118186307975995,0,0.00243175701114537,0.0133600915191788,0.00613366022663245,0.146976251506981,0.00236644745092379,0.00389508547679208
"DERL3",2.31807207621311,0.251743695348602,0,0.00435245601591437,0.00589539672430819,0,0.00485761492240704,0.0133600915191788,0,0.709768236989321,0.00649430295845142,0
"POU2AF1",1.1034431055086,0.629630578914681,0,0.00724360448643725,0.0245304500360257,0,0,0.0133600915191788,0,0.336625148179454,0.00236644745092379,0.00389508547679208
"MZB1",3.6076583972296,0.623821863939608,0.00625734931329726,0.0172973022144924,0.0439569283042158,0,0.063666893430209,0.052401677911621,0.0568044793664405,1.06771084061494,0.0129467019368008,0.0116400347199912
"PKHD1L1",0.609864528883739,0.257362211629572,0,0.00145292456361173,0,0,0,0,0,0.0345788568576921,0.00177536038798961,0
"TNFRSF13B",0.811252658361989,0.390905229917534,0,0,0.00471909455759839,0,0,0,0,0.474318105005349,0.003547574456498,0.00777505810949902
"ITM2C",2.73111079666864,0.464143215164975,0.398509949543966,0.17190372371961,0.311455908711743,0.27585841279915,0.175919921898893,0.0776075153743239,0.0362500144524165,1.61774779731226,0.0303354385138114,0.0269522705825774
"JCHAIN",5.78530759781362,1.49608662705172,0.00625734931329726,0.0399045715347205,0.104340414437398,0.0224365006217206,0.0907122884874605,0.149623449494584,0.110554916204406,1.82853697396717,0.0845750836053878,0.060570878156715
"FKBP11",2.05873194673733,0.217353080851601,0.0309024012530662,0.325920224456518,0.655417199938924,0.449323957394543,0.890555407783003,0.84073673713926,0.845414122460787,0.205951627176704,0.0867498269811508,0.0930959388402054
"PDIA4",2.26299842122377,0.35344456130258,0.238945716137901,0.232473097502773,0.376014901711225,0.166802367503943,0.537041237989624,0.599074887723514,0.655420754785933,0.479776957143995,0.363881369716232,0.337882785360015
"IGHA1",6.98882218331701,1.30331538181247,0.00625734931329726,0.165763213178573,0.355507618405391,0,0.287849140889509,0.522321226732717,0.432704619812751,1.00048525589935,0.27256838833914,0.1944538823897
"LMAN1",1.59218691376754,0.317168033674143,0.167235038089301,0.295009720411586,0.428986612508297,0.292931802546176,0.470862562880847,0.412831231538058,0.422675865797657,0.400500264195929,0.192799933330037,0.148428564065205
"SEC11C",2.46308394250259,0.491113153975649,0.355457852836854,0.383033907931823,0.659706102109233,0.240811433435567,0.742171455857745,0.736890651449988,0.76856620572237,0.705433392607148,0.320127249540263,0.450942777687311
"UBE2J1",1.95347149846262,0.75298256405525,0.427580243031664,0.157102655606686,0.304503118292246,0.222816306650063,0.313088188255951,0.338963480564228,0.327581478763607,0.901996941170039,0.775188656945998,0.943469163381355
"TXNDC11",1.35669874294908,0.199703840552157,0.156557598337514,0.112637738381212,0.22181304144336,0.0658535396397555,0.233449733362711,0.329334216620615,0.166784000347518,0.191530638507447,0.240954954487499,0.165110402905109
"HSP90B1",3.36772452066957,0.99037079137805,1.23961817057218,0.776275424554198,1.07377064051105,0.545854645598213,1.24661295895424,1.39615568005367,1.43345283835287,1.55288229748373,1.29570194205668,1.13380175833717
"CD38",1.56859809571071,0.132186667818924,0.129354303582152,0.0809630898867567,0.0518476557335086,0.0658535396397555,0.0311607317628342,0.248767993169057,0.377313866243771,0.112207378883779,0.0491201631198929,0.0751572148674116
"CD79A",1.9288039011535,2.88341530239992,0.0247978457703711,0.0606445411518509,0.0740554481386924,0.166802367503943,0.0145026235092482,0.0776075153743239,0.0182892561769138,1.48849134227809,0.0158659037147594,0.0494897816209909
"HSPA5",2.37294352419964,0.725297544891531,0.931320031304342,0.712751801715663,0.9991223248554,0.747547532422641,1.30175801705281,1.25706817106884,1.40517863051198,1.1489881663206,1.15790695870799,0.990939335665748
"TENT5C",1.26940552852055,0.422273402088614,0.101390246103542,0.124261764945516,0.38812039705343,0.107463716009614,0.532763007126923,0.489890570966666,0.137725288364986,0.143172205277616,0.0199385224057111,0.00777505810949902
"EAF2",1.48784887437928,1.13195102171616,0.310468560101514,0.0755850493131657,0.0762493412665163,0.0868750380602954,0.0498648614635068,0.102193607783567,0.0597066442693082,0.418025187827736,0.253904320706478,0.487555975418166
"IGLL5",1.82509760074437,0.211504543213165,0,0,0,0,0,0,0.00307153282941635,0.0345788568576921,0,0
"ISG20",2.27680889882668,1.59860481635225,0.188253863235854,1.13266256987977,1.39428444030119,1.18448693953262,1.28438632542065,1.34842220409965,1.10968556496565,0.869348578249339,0.23488526971928,0.373431477674512
"TXNDC5",0.625309710073573,0.0215087648842075,0.012475787560129,0.00145292456361173,0.00824385811786545,0,0.00485761492240704,0.0265440416723065,0.00918643961715708,0.0174388831508245,0.00472730804670763,0.00389508547679208
"XBP1",2.63179564097197,0.493328157180432,0.80494012561101,0.600457715084366,0.975774499379394,0.477867925552708,1.32338082819138,1.26088714291648,1.53719285926336,0.80657581229985,0.807931849548772,0.501833974110507
"MANF",1.40469960293571,0.30655692009109,0.263359489237465,0.314307740910942,0.475624865391094,0.434740508396784,0.653760308574296,0.464858162751715,0.784134674291846,0.449377656896866,0.308882906599348,0.315361472972448
"FKBP2",1.42096998095415,0.393353410527233,0.63062020236848,0.366038038312824,0.480024919482511,0.404919640825512,0.656289632677599,0.538150490796203,0.742555832217336,0.778706562906496,0.620596724224632,0.617716044986112
"SDF2L1",1.73832953654348,0.290426098466314,0.32870787188851,0.331154374585975,0.463795848169062,0.27585841279915,0.660071663860332,0.710805204189615,0.875342038900374,0.435248270656253,0.458094552080822,0.543484093856921
"LINC01781",0.578239540153836,0.50651612377707,0.00625734931329726,0,0,0,0,0,0,0.415125612236497,0.00177536038798961,0
"ERLEC1",1.16187827030659,0.231826504297856,0.229010836501562,0.180437581145079,0.248914419046252,0.166802367503943,0.30952137682976,0.289862250097427,0.360294735288519,0.298205462702197,0.20155358342779,0.229186820280904
"JUNB",0.815485662423944,2.57172715428432,3.29208047069643,3.45427581763339,3.15717700983315,3.36649838571071,3.10475554943731,2.46697080376351,2.24866540827512,2.83681503761815,3.04167064992408,2.99603509527195
"SEC61B",2.29525174059531,0.923583506012916,1.27706821061631,0.764837248102092,1.22950058544184,0.657672203054001,1.40726917788971,1.39615568005367,1.377634383072,1.77558302030292,1.30152127058399,1.17199624656176
"MAN1A1",1.01058106345577,0.0999223495968607,0.129354303582152,0.0272509283594721,0.100069740746535,0.0658535396397555,0.231520070869646,0.29987726606989,0.366710900658599,0.251433361513476,0.20300510420361,0.178258362396765
"CALR",2.41477096891572,1.24348813047945,0.958163179856811,0.902440220627439,1.13414274266704,0.99390226280968,1.43605701121277,1.52995717855314,1.76349652890091,1.25094464594248,0.959086913557909,1.29684161120125
"ZBP1",1.08425720221182,0.290426098466314,0.0667672621800814,0.0836413026728723,0.248914419046252,0.0658535396397555,0.332481436187151,0.599074887723514,0.594503651137273,0.123931836821986,0.0658962822213551,0.0494897816209909
"HRASLS2",0.840514165103954,0.00722111347186383,0,0.0496367770683956,0.0210627267555863,0.204491412000165,0.0907122884874605,0.052401677911621,0.282229492285802,0.0174388831508245,0.00177536038798961,0
"SELENOS",1.29588036642647,0.317168033674143,0.5138024969255,0.283030491771998,0.445028244640999,0.309718578283079,0.643578547753183,0.606435932187781,0.777088129960582,0.816343836761711,0.58658863405243,0.520559618353641
