"","Plasmablast","NaiveB","MemoryB","NaiveCD4T","EMCD4T","CMCD4T","TRegs","NaiveCD8T","MemoryCD8T","NKT","NKcells","mDC","pDC","CMonocytes","NMonocyte"
"TNFRSF17",2.26399123413468,0.202667097179893,0,0.00290374119972527,0,0.00208238443210045,0,0,0.00243175701114537,0.0133600915191788,0.00613366022663245,0.102008924088481,0.290360878299617,0.00236644745092379,0.00389508547679208
"DERL3",2.31807207621311,0.251743695348602,0,0.00435245601591437,0.00880977586023269,0.0041604415488515,0,0,0.00485761492240704,0.0133600915191788,0,0.107100074110516,1.66030569824022,0.00649430295845142,0
"POU2AF1",1.1034431055086,0.629630578914681,0,0.00724360448643725,0.0175426168554319,0.030789415119944,0,0,0,0.0133600915191788,0,0.414991351431079,0,0.00236644745092379,0.00389508547679208
"MZB1",3.6076583972296,0.623821863939608,0.00625734931329726,0.0172973022144924,0.0683962914483161,0.0267385215143806,0.0365405524020236,0,0.063666893430209,0.052401677911621,0.0568044793664405,0.349437010310626,2.09612187310806,0.0129467019368008,0.0116400347199912
"PKHD1L1",0.609864528883739,0.257362211629572,0,0.00145292456361173,0,0,0,0,0,0,0,0.0442257194785197,0,0.00177536038798961,0
"TNFRSF13B",0.811252658361989,0.390905229917534,0,0,0,0.00830364551501567,0,0,0,0,0,0.576621728375921,0,0.003547574456498,0.00777505810949902
"ITM2C",2.73111079666864,0.464143215164975,0.398509949543966,0.17190372371961,0.328830707480879,0.264101481207402,0.784323223382827,0.27585841279915,0.175919921898893,0.0776075153743239,0.0362500144524165,0.531147494431811,2.8187260039507,0.0303354385138114,0.0269522705825774
"JCHAIN",5.78530759781362,1.49608662705172,0.00625734931329726,0.0399045715347205,0.172920996674837,0.0586952973105087,0,0.0224365006217206,0.0907122884874605,0.149623449494584,0.110554916204406,1.05462740690083,2.88949474718398,0.0845750836053878,0.060570878156715
"FKBP11",2.05873194673733,0.217353080851601,0.0309024012530662,0.325920224456518,0.730727782283987,0.610938718287271,0.419387149792869,0.449323957394543,0.890555407783003,0.84073673713926,0.845414122460787,0.199210621988286,0.229234526691121,0.0867498269811508,0.0930959388402054
"PDIA4",2.26299842122377,0.35344456130258,0.238945716137901,0.232473097502773,0.439266500636913,0.341095852334383,0.138774898119981,0.166802367503943,0.537041237989624,0.599074887723514,0.655420754785933,0.270695233746051,0.987512860499361,0.363881369716232,0.337882785360015
"IGHA1",6.98882218331701,1.30331538181247,0.00625734931329726,0.165763213178573,0.577531384428468,0.182419213384998,0,0,0.287849140889509,0.522321226732717,0.432704619812751,1.15209742327332,0.147165613318008,0.27256838833914,0.1944538823897
"LMAN1",1.59218691376754,0.317168033674143,0.167235038089301,0.295009720411586,0.418133528505294,0.431717162338777,0.512760490326992,0.292931802546176,0.470862562880847,0.412831231538058,0.422675865797657,0.240047492298522,0.819059987479257,0.192799933330037,0.148428564065205
"SEC11C",2.46308394250259,0.491113153975649,0.355457852836854,0.383033907931823,0.649386115093572,0.64869082722194,0.941212516546678,0.240811433435567,0.742171455857745,0.736890651449988,0.76856620572237,0.570250650787925,1.07239426033664,0.320127249540263,0.450942777687311
"UBE2J1",1.95347149846262,0.75298256405525,0.427580243031664,0.157102655606686,0.341488223109827,0.275244209365923,0.343149900299751,0.222816306650063,0.313088188255951,0.338963480564228,0.327581478763607,0.740289639814958,1.32301733291782,0.775188656945998,0.943469163381355
"TXNDC11",1.35669874294908,0.199703840552157,0.156557598337514,0.112637738381212,0.233102847637806,0.208139962381719,0.316388799012364,0.0658535396397555,0.233449733362711,0.329334216620615,0.166784000347518,0.203831281656548,0.147165613318008,0.240954954487499,0.165110402905109
