"","Plasmablast","NaiveB","MemoryB","NaiveCD4T","EMCD4T","CMCD4T","TRegs","NaiveCD8T","MemoryCD8T","NKT","NKcells","mDC","pDC","CMonocytes","NMonocyte"
"TNFRSF17",0.559695003379256,0.455246023557602,0.1,0.155280227782836,0.1,0.140421819999603,0.1,0.1,0.14788188751464,0.180412048736406,0.183116425330033,0.349331150587206,0.472975070939314,0.145642129883609,0.144550777384686
"DERL3",0.604866943847867,0.52545074915435,0.1,0.170002378897055,0.1785256682618,0.142797587056024,0.1,0.1,0.162402964353116,0.1826595032563,0.1,0.363482606678632,0.775313476913601,0.166133488259486,0.1
"POU2AF1",0.562913389223371,0.742827846085249,0.1,0.16488746274956,0.240661525739369,0.230043652765283,0.1,0.1,0.1,0.156947586096364,0.1,0.633223721652998,0.1,0.141843510919241,0.139890071304001
"MZB1",0.618654626393407,0.758610084359382,0.14856695093054,0.217965200420278,0.331927445457467,0.217225511737965,0.275810544841431,0.1,0.313455279306646,0.287468851976725,0.304697998934232,0.568110063246435,0.638303077599759,0.189908842710831,0.180714111920955
"PKHD1L1",0.467541461212588,0.52662970603792,0.1,0.145864863669703,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.282703963484833,0.1,0.126915135730585,0.1
"TNFRSF13B",0.558550877925531,0.558863438976736,0.1,0.1,0.1,0.181008960369433,0.1,0.1,0.1,0.1,0.1,0.747928625512639,0.1,0.137339893111608,0.154297142322214
"ITM2C",0.576693057934788,0.618924816642148,0.562721488006387,0.438039485122491,0.567464680193644,0.498274664304684,0.757686747404633,0.51086023930703,0.431942987577767,0.331837905659873,0.25217277159641,0.653622375785022,0.632647047098499,0.220829621025121,0.216938457808417
"JCHAIN",1.07872635943382,1.06909588984545,0.14577772014541,0.296640135428195,0.441970336446315,0.295013383439808,0.1,0.223834219927416,0.363108686985435,0.378447131398401,0.391816607636496,0.891464301722653,0.664698353732892,0.342799307230188,0.275890740984772
"FKBP11",0.515258024065754,0.44724132025068,0.200302237334675,0.548240440750902,0.781874047786571,0.67766999509431,0.613751213748535,0.577883894970743,0.863711871595637,0.727110840996283,0.856320913937967,0.426624619192912,0.452232682741621,0.326764837279153,0.320754324493609
"PDIA4",0.576843690526285,0.576667689903004,0.385704266265748,0.511461374050743,0.630516467849105,0.561920731675749,0.419046198302547,0.402540244607635,0.718228458103334,0.625502318552307,0.797087827116882,0.429035513207626,0.712124649155387,0.550397945431684,0.479210688124666
"IGHA1",2.5,1.03764610588352,0.147447643471269,0.49712820426333,0.689282187071656,0.461925677851486,0.1,0.1,0.583120970816825,0.637994220964226,0.694612235555954,1.05451980889841,0.397133416541122,0.550986857712399,0.413358732266251
