Fibroblast cell	Stellate cell	Macrophage cell	Endothelial cell	T cell	B cell	Ductal cell type 2	Endocrine cell	Ductal cell type 1	Acinar cell
DCN	3.9546512862563	1.89678875576609	0.508611237594139	0.40498924110175	0.701363354290631	0.304420402440552	0.455475834840474	0.578782305378086	0.288750356322617	0.293867100912554
LUM	4.37908099476086	1.74032543872775	0.759527383493595	0.527611135606067	0.920546983233638	0.357721786666457	0.667833129673025	0.800844754480319	0.389217030997919	0.375957388110548
COL6A3	2.61031530641183	1.32164821153293	0.230982508802351	0.174897445117721	0.350108654649527	0.15494064718506	0.219567943297461	0.189773369028422	0.0893242399246736	0.0796392023328572
C1S	2.57679448541448	1.74849631142783	0.279573275548512	0.326106723141982	0.345731787422041	0.210394608697006	0.285069387484981	0.379619737161311	0.61026338661842	0.334451222099894
SFRP2	3.9349819193757	0.997307778264474	0.431333495695199	0.322250303004076	0.565702721147188	0.292497053455445	0.370669858728045	0.446286765624288	0.184169395142434	0.174279459139804
COL1A2	4.29154979542004	2.68844243198221	0.746437541085483	0.561802065282482	1.08738638200533	0.468537780790761	0.803464382954517	0.634172738472708	0.271071808633585	0.276400989608499
FBLN1	2.62122382245871	0.723547051487783	0.174998358706329	0.165536132388421	0.255660331971811	0.127027611283854	0.18368351030212	0.259054615924901	0.119069380817416	0.112734062766902
CCDC80	2.59650402659954	0.995720519395167	0.10587836535765	0.208101333967997	0.13425539379304	0.0787013935638338	0.123566585841923	0.119738920860436	0.206514110797153	0.0875989784937321
MMP2	2.188576064079	0.469035071034149	0.366139723957738	0.853852858263592	0.399679011881722	0.150342246286174	0.262296629590508	0.273610289112378	0.0889899558658014	0.0967370974984152
C1R	2.54893088250291	1.88563823166002	0.212804595367121	0.533208211563824	0.298788552186668	0.169902504305874	0.270786380348544	0.295976084510597	0.491072385768612	0.299284389255327
AEBP1	2.3072380991559	1.25013495588258	0.220401877213567	0.27455553044398	0.318650859626233	0.134413808966844	0.192510922968509	0.223363603987345	0.0719049445074365	0.0690683437378356
SERPINF1	2.75959748636677	1.96074678874169	0.560887794756042	0.250051571848355	0.355256738238584	0.171193017728548	0.235370488479663	0.303321552148416	0.142582515885139	0.208875690709166
RARRES2	2.58420320166101	1.21136455032163	0.370022068324161	0.294616052636727	0.404202683276458	0.196030771816839	0.676742514272278	0.546311428277858	0.571883784772203	1.57344793411362
COL6A2	2.45705847314061	2.14701144084301	0.299993106414476	0.659292194593987	0.396651822134756	0.180819145550821	0.303500185256827	0.281744648772054	0.130360547561502	0.10661163064765
COL3A1	4.22321974827463	2.78346146013652	0.800322240862917	0.631704555457969	1.10284171645085	0.522156904371419	0.807432104303772	0.653265007018243	0.305314214077448	0.33607987931571
CTSK	1.92113351549561	0.449340951356589	0.225706186663287	0.0741501598089284	0.35407106909128	0.0586974545661114	0.112520629632787	0.114596266569504	0.0583224369256563	0.0375460679576819
BGN	2.62655040386976	2.34852790769034	0.25062365347151	0.587200199828168	0.305038007212874	0.160170199995343	0.228572845374054	0.257778835258059	0.112232974211216	0.102097903245827
COL1A1	4.41686756947461	2.56264640330715	0.769617464377853	0.555371123097094	1.09665057924409	0.489393880767374	1.00213679198811	0.603026828638185	0.302707565570693	0.247662517648887
PCOLCE	1.9825845695238	1.62579805032962	0.178630696737686	0.159532979645662	0.222386287677245	0.0962300680654651	0.185872257122717	0.183605450210313	0.128755308316322	0.0917630236684724
APOD	3.56761537923355	1.07856766008319	0.357973060094072	0.661526183048886	0.379065369234336	0.242728870429405	0.299741285098494	0.549177214390805	0.430768757584825	0.320334179802493
MXRA8	1.40470844852581	0.658524188065051	0.0718161304024368	0.0500392318489616	0.107290391116668	0.044159895456977	0.0921799556494565	0.0892344114942991	0.0353059354675241	0.02563073350816
COL6A1	2.01575240552098	1.58036831773976	0.229969991225369	0.37819601478502	0.259579827006417	0.122975662529359	0.51318752084506	0.284234274857844	0.276075570265562	0.169292901743769
ISLR	1.54720712061943	0.306168181730941	0.0699157506977473	0.16260031534121	0.095068519265799	0.0375484031208816	0.0673036880554924	0.0717057166866127	0.0337760560713562	0.0318267749183801
CALD1	3.01337969663164	3.41103852589387	0.361709595381694	1.59405305375174	0.463350113460469	0.312850871346582	0.499719156191214	0.627579794280371	1.13635307911167	0.41851029938356
CTHRC1	2.8520396247737	0.59195533918505	0.21156714662443	0.392315416016453	0.328436004230887	0.117547397456949	0.268869592006227	0.209392880581856	0.0805963292846933	0.0682178279508334
THY1	1.93269067876292	1.8112582060891	0.144572382008601	0.287072833925089	0.178584683736035	0.0934460457100633	0.155990716895279	0.144348103967291	0.054061428441877	0.0471509711760931
LGALS1	3.84235890293661	3.3508275239266	3.30312152417337	1.75400030750967	2.16808357681673	1.17718588345021	1.76216677057109	1.38815041393234	1.13043112241772	0.797604119363422
SPON2	1.51072678529253	0.653923449080507	0.138818481426345	0.0925822672132126	0.430190542063491	0.0758680709669642	0.220550674191889	0.191138866590916	0.0977557091803702	0.0750017854126681
HTRA1	1.74322615342281	0.634736241610639	0.559285740592045	1.01126914254689	0.199572134942367	0.0927488273737033	0.169571269975933	0.180851893941387	0.10578796616356	0.111512571405528
VCAN	2.15132700480275	0.576221786408589	1.03533714922746	0.16809792098589	0.191695222143342	0.0913529306639329	0.346066480271712	0.141484142519843	0.0486224837307263	0.0553725153704428
MFAP4	1.73070105585906	0.995521934774619	0.0727649676771879	0.0902144376968155	0.123357275506577	0.0651710352064415	0.0758539383302606	0.101249564586341	0.0421031790214922	0.0545102658737755
COL5A2	1.99822370577104	1.10428002165104	0.144351689250049	0.14779053603922	0.223288116019349	0.0801150501436412	0.161736822504458	0.119738920860436	0.0525599966314797	0.0423600512932899
NNMT	2.42489508989038	1.71371106182771	0.395926711245324	1.37266369250435	0.379450990635796	0.227607044429173	1.20894362948713	0.500808291942497	0.739858819805835	0.694850477680042
CLEC11A	1.42673550648464	0.756999815821282	0.391971544755978	0.123756368744418	0.135240267639654	0.0941427782716861	0.0740928697179742	0.196582287038636	0.276999451443114	0.100039454450503
NBL1	1.99688316909358	0.868414199691566	0.181399491727797	0.4308022632521	0.306283225166724	0.101774967773918	0.969303101389534	0.21740003474534	0.257698879134233	0.0863463762579155
THBS2	1.82973030192505	0.363829086881321	0.102201625601719	0.0625736229085862	0.158109894637462	0.0507279629083123	0.108957801513368	0.0930046779137353	0.0340115745283482	0.0247424424399305
EMILIN1	1.18166796503512	0.617350180172839	0.0687261768286044	0.0366512312710652	0.0643723857909418	0.0338563756909141	0.0441976114039189	0.0364954344225348	0.0195424658109441	0.0242980008325965
FSTL1	1.73268303217631	1.08684964013834	0.15663608447767	0.633924498736581	0.202337474176477	0.105913558326469	0.327307693138717	0.180162318542163	0.314161928419509	0.189845367908755
SPARC	3.69181966229524	3.21307000033653	0.83044572663481	2.55235466217216	1.01410676340224	0.576492388085675	0.751496167087973	0.992904411250201	0.415207536932452	0.421502956683894
LRP1	1.15265695131258	0.365881413172025	0.533746229904536	0.0883689085027217	0.100688758816547	0.0630178279990317	0.262908798981068	0.107203434756011	0.128219655436141	0.0484536119343177
TPM2	2.34955576490359	2.88680258030211	0.40276822008781	0.443093032686571	0.450146090986294	0.276374832108231	0.779462089512654	0.472890074861376	0.299733090707702	0.217707348048733
FN1	3.28787472503594	2.06062571263138	1.56933771387763	0.785012968584513	0.703038528860702	0.30102821331405	0.700849363180859	0.407481848762177	0.240415981210142	0.158856065718994
TAGLN	3.24248861439882	3.90009384702625	0.561615153602927	0.912371024304773	0.719088829289592	0.422468611525449	0.612476695974116	0.631540774524444	0.38042897509971	0.314032364833161
COL10A1	1.95978342952874	0.188960567673076	0.0653878219778738	0.0730789083984516	0.107290391116668	0.0301506666659803	0.072328694270877	0.0460067261147963	0.0165514617707926	0.0099705591112938
INHBA	1.61833073923839	0.283354752260286	0.287447050262616	0.0367901702901474	0.0816573879088158	0.0279206317932568	0.0774985866507526	0.0507286614218314	0.0302366066994695	0.0176075638967806
ASPN	2.06752583679315	1.59137360083863	0.103352059615893	0.0882369545663826	0.148441991867996	0.0492721159343638	0.0913420113859479	0.104230930735881	0.0437369940264392	0.0375460679576819
CDH11	1.07194312973538	0.341735097858168	0.0296453005698829	0.0821481739447044	0.0403098471419936	0.0197010246047949	0.043846044498845	0.0196298378481216	0.00933633953065142	0.0113225108863446
OLFML3	1.15400821857688	0.380498382416708	0.322593207230066	0.0548262844389471	0.0548167380955437	0.024939494950687	0.0406175754033894	0.079364670122491	0.229533122302083	0.0579548119699936
COL5A1	1.59029062199794	0.644375863255998	0.104501171652349	0.128711023428806	0.160512336172699	0.042694447877916	0.114870620355181	0.085449876352137	0.0435037552489921	0.0357897668654923
MGP	4.13346473786478	3.36628848167321	0.975734570550795	2.92371101548189	1.13341659327417	0.745048831831898	0.98782898840004	1.30971527255406	0.811248011656113	0.830297885656327
MYL9	2.41076233184942	3.36823448942235	0.422013587390233	0.927877969344274	0.520868554130127	0.323982065308067	0.509147623697506	0.546311428277858	0.684896334431572	0.374392449617492
PDGFRA	0.955478487225008	0.084471536077926	0.0281589326287711	0.032892562184281	0.0462454886250314	0.0234455872009973	0.0458951112134558	0.0404694723691472	0.0172701190481505	0.0207353389936413
NUPR1	1.81404368495172	1.36134216894271	1.5001085339384	0.542216218005517	0.38789725560205	0.151658234213721	1.02647383503717	0.61827603251319	0.68403616707661	1.75380785601234
EFEMP1	1.52218514224895	0.275020986869211	0.0651489410650116	0.138296282519022	0.0774944382460218	0.0301506666659803	0.111699564471435	0.0914982767053852	0.285367775374763	0.0979767597021569
PMP22	1.36752638346097	0.822968993540176	0.683064316683796	0.696751121493845	0.137698216949636	0.0644538144919125	0.124486103605616	0.297817515975003	0.134628630424471	0.0711914738037071
SELM	2.02263953022826	2.08363446609545	0.487067319023204	1.10303206884986	0.803036512452108	0.494073847994436	0.941511401713554	0.817758988151833	0.811464486431815	0.710639634523475
TIMP1	4.17654152817402	3.7356315693027	2.85807134077524	2.21578542172777	1.55871514666593	1.12689452384143	2.35491572588773	1.88647630178586	1.25605505207645	0.93035270721853
