Fibroblast cell	Stellate cell	Macrophage cell	Endothelial cell	T cell	B cell	Ductal cell type 2	Endocrine cell	Ductal cell type 1	Acinar cell
DCN	0.838540483114804	1.06963798124948	0.564041530083102	0.451162612537359	0.642484140986329	0.432428030637478	0.503832087957742	0.563818006861683	0.377981190626606	0.38991646783655
LUM	0.927710189329255	1.0503675197288	0.707722881191535	0.519525922106414	0.752393981592014	0.457040012041868	0.627496620915216	0.702203868215214	0.445276030934906	0.433027760719847
COL6A3	0.945633221679781	0.913384605607804	0.366441354497466	0.264230922768904	0.432765516214672	0.29543043435707	0.327307526270081	0.357191845494249	0.195434639060612	0.180412483174616
C1S	0.793081203959743	1.01698003592414	0.401878238641487	0.389490488799009	0.438306884628188	0.341083044087673	0.384606365920302	0.501421010869303	0.572111212963185	0.378324984629857
SFRP2	1.47050418268255	0.688296117211136	0.518511452178235	0.386558276749654	0.573765845752118	0.413156679700653	0.456466948616016	0.517597639584363	0.290734784941849	0.288790351206127
COL1A2	1.23103627958656	1.18443757276566	0.696190969809339	0.513989501588288	0.808497749259705	0.529747549273572	0.670053989030134	0.715998930986037	0.354266473927047	0.347819577779377
FBLN1	1.0770557469206	0.647823998660359	0.327690582654727	0.282018633448055	0.38010759009973	0.273230746303236	0.30578623473852	0.381766516814916	0.243175074261321	0.222615408178187
CCDC80	1.07417595567639	0.778703512512378	0.253219519350498	0.303706649047854	0.271584051883473	0.228790699925076	0.253242488404317	0.292124618632356	0.34190744927669	0.19903936063025
MMP2	0.895607180526845	0.503774651263267	0.462169033840903	0.691581608850271	0.468416264206736	0.288579480335095	0.373770504528036	0.421154442813288	0.196367003360837	0.199599800827262
C1R	0.864478095590874	1.01735846539186	0.351710412319838	0.510688501818223	0.402247181250569	0.316017214761345	0.377225438812244	0.453751868077239	0.50628396859974	0.356893558185517
AEBP1	0.939243845294949	0.824636177806946	0.366408067362854	0.373671107279386	0.413908658256277	0.289436206887162	0.319232819481138	0.39988055812198	0.179016434848025	0.181130191758958
SERPINF1	0.998444247962278	1.00120090531034	0.567100422057949	0.341816501516498	0.446768538426484	0.314824591082118	0.345419535968823	0.415835407944227	0.255119341409546	0.302652063619789
RARRES2	0.817546595714481	0.814685722833532	0.466714684181952	0.39472800054863	0.468312430372591	0.327802497685461	0.602459849971221	0.627627121350972	0.564273214431607	0.75424364905811
COL6A2	0.781398257320159	0.929567173613519	0.409690851230189	0.58583194601014	0.461505013654044	0.330151348433334	0.397579910784759	0.41856164674514	0.243396547083406	0.211129975446474
COL3A1	1.40679639566292	1.25473389319475	0.712159557018567	0.554412968117142	0.817253659786372	0.556884906467528	0.666403113105967	0.70499109412409	0.375545750492583	0.3918058626133
CTSK	0.895964351928268	0.472755560494037	0.316554760362472	0.188820204145595	0.30595190433604	0.189772304342539	0.244994611248708	0.284525693616738	0.165342931963338	0.125189126279807
BGN	0.85606917297492	0.881656230518016	0.379350300284489	0.5455646506327	0.408140718807246	0.321641845157548	0.330709164855819	0.394627519728981	0.220374729698089	0.200919160222806
COL1A1	1.60110955967683	1.22823574698936	0.704951686999043	0.513527683131968	0.818949643788948	0.548739462425492	0.748532277579247	0.700772206792361	0.372997101185602	0.331042285820239
PCOLCE	0.820705030606748	0.910525998502089	0.321524587101806	0.274865352754707	0.350517138026054	0.233702399336494	0.29263022494217	0.315934950394555	0.254543609837093	0.191405584665852
APOD	1.63258565126177	0.680659995915	0.479488470468774	0.602505082902409	0.478351897887046	0.384732155093007	0.410849737988633	0.505764975595114	0.478103017269855	0.43729763569934
MXRA8	0.754025604474818	0.614238861656481	0.205127258731056	0.144634409843419	0.22783294582125	0.160392173735525	0.214564020208941	0.281206978057519	0.121480333497496	0.102445643658107
COL6A1	0.857985665590392	0.86392591619511	0.355354960680873	0.439257810295077	0.366264554874449	0.270636124235659	0.51560103958238	0.403256525831287	0.381120335481784	0.28109558776958
ISLR	0.858402471602239	0.417793330178461	0.205535354112569	0.326635021896561	0.217646923932644	0.145310145037797	0.182924126732894	0.211178530346152	0.122072780108288	0.120630403136558
CALD1	0.695586643218191	0.627674766386734	0.450028837661562	0.823148059222253	0.516235313560812	0.421791484197566	0.49378837941919	0.57856837045885	0.709271584572716	0.455575468510969
CTHRC1	1.27766319906162	0.560635718883747	0.357323392811166	0.427959755839505	0.414260379225732	0.257414096130442	0.377215226826369	0.35368845001992	0.176910740459836	0.174806569575603
THY1	0.875222073343267	1.08290961315539	0.287895397310479	0.367661469405704	0.302440232117518	0.216347873521066	0.272761520216179	0.319469620350828	0.157218403374105	0.130534279190262
